cat,longitude,latitude,species,hemisphere,grid,grid_long,grid_lat,region,region_close,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
1,-72.11666,-51.48333,Carex_macloviana,SH,69435,-72.25,-51.25,5,5,53.9166666666667,98.0277777777778,48.0277777777778,3781.61111111111,159.944444444444,-42.1944444444444,202.138888888889,51.6666666666667,65.1388888888889,99.5555555555556,2.75,358.055555555556,39.5,21.8055555555556,17.3611111111111,111.638888888889,71.75,81.8888888888889,92.4166666666667
2,-71.68028,-39.01472,Carex_macloviana,SH,68727,-71.75,-39.25,5,5,83.1944444444444,127.861111111111,55.9444444444444,3605.58333333333,224.666666666667,-1.77777777777778,226.444444444444,43,130.555555555556,130.555555555556,38.2222222222222,1675.44444444444,282.166666666667,42.9166666666667,62.3055555555556,801.916666666667,151.722222222222,151.722222222222,772.75
3,-71.4,-36.9,Carex_macloviana,SH,68433,-71.25,-36.75,5,5,69.6944444444444,143.611111111111,55.4166666666667,4245.58333333333,224.944444444444,-31.6944444444444,256.638888888889,22.25,125.527777777778,125.944444444444,16.3055555555556,1054.08333333333,209.888888888889,18.8055555555556,78.5,578.305555555556,66.4722222222222,66.4722222222222,547.333333333333
4,-70.55,-36.01667,Carex_macloviana,SH,68368,-70.75,-36.25,5,5,59.5,147.666666666667,55.1388888888889,4467.86111111111,215.277777777778,-50.1944444444444,265.472222222222,9.33333333333333,117.888888888889,117.888888888889,2.75,771.25,151.666666666667,15.6388888888889,76.2222222222222,415.25,53.2222222222222,53.2222222222222,399.138888888889
5,-76.1903,3.66896,Carex_macloviana,NH,54242,-76.25,3.75,,5,194.361111111111,103.583333333333,91.3333333333333,244.444444444444,252.444444444444,139.527777777778,112.916666666667,191.472222222222,194.472222222222,196.583333333333,190.472222222222,1346.33333333333,189.638888888889,52.2777777777778,36.3888888888889,462.805555555556,201,350.194444444444,460
6,-122.917,28,Carex_macloviana,NH,,,,,2,,,,,,,,,,,,,,,,,,,
7,-105.14039,37.32265,Carex_macloviana,NH,36588,-105.25,37.25,2,2,29.3055555555556,164.972222222222,41.5833333333333,7779.36111111111,228.25,-163.166666666667,391.416666666667,123.055555555556,-68.8333333333333,129.027777777778,-71.2222222222222,496.722222222222,77.3611111111111,23.0833333333333,42.0277777777778,196.444444444444,77.8611111111111,192.638888888889,77.8888888888889
8,-107.34302,37.76349,Carex_macloviana,NH,36240,-107.25,37.75,2,2,-6.94444444444444,159.75,41.9444444444444,7479.61111111111,185.027777777778,-191.444444444444,376.472222222222,85,22.7777777777778,88.9444444444444,-99.5277777777778,818.138888888889,90.1666666666667,37.5555555555556,22.25,244.861111111111,140.333333333333,210.833333333333,209.027777777778
9,-105.77302,39.43447,Carex_macloviana,NH,35212,-105.75,39.25,2,2,9.30555555555556,158.388888888889,40.25,7987.11111111111,212.361111111111,-177.305555555556,389.666666666667,105.388888888889,-74.6944444444444,112.944444444444,-90.6111111111111,468.444444444444,65.5555555555556,23.1388888888889,36.9722222222222,171.111111111111,77.0277777777778,170.638888888889,78.4166666666667
10,-107.33278,39.70278,Carex_macloviana,NH,34852,-107.25,39.75,2,2,16.3611111111111,157.666666666667,39.6944444444444,8087.25,225.25,-166.888888888889,392.138888888889,50.75,20.0277777777778,121.333333333333,-83.9722222222222,529.527777777778,52.7222222222222,34.4444444444444,10.9722222222222,144.25,122.666666666667,131.972222222222,130.361111111111
